#v / cm^-1	Intensity / AU
2608	3.27E-05
2607	3.27E-05
2606	3.28E-05
2605	3.29E-05
2604	3.29E-05
2603	3.30E-05
2602	3.30E-05
2601	3.31E-05
2600	3.31E-05
2599	3.32E-05
2598	3.32E-05
2597	3.33E-05
2596	3.34E-05
2595	3.34E-05
2594	3.35E-05
2593	3.35E-05
2592	3.36E-05
2591	3.37E-05
2590	3.37E-05
2589	3.38E-05
2588	3.38E-05
2587	3.39E-05
2586	3.39E-05
2585	3.40E-05
2584	3.41E-05
2583	3.41E-05
2582	3.42E-05
2581	3.42E-05
2580	3.43E-05
2579	3.44E-05
2578	3.44E-05
2577	3.45E-05
2576	3.45E-05
2575	3.46E-05
2574	3.47E-05
2573	3.47E-05
2572	3.48E-05
2571	3.48E-05
2570	3.49E-05
2569	3.50E-05
2568	3.50E-05
2567	3.51E-05
2566	3.51E-05
2565	3.52E-05
2564	3.53E-05
2563	3.53E-05
2562	3.54E-05
2561	3.55E-05
2560	3.55E-05
2559	3.56E-05
2558	3.57E-05
2557	3.57E-05
2556	3.58E-05
2555	3.58E-05
2554	3.59E-05
2553	3.60E-05
2552	3.60E-05
2551	3.61E-05
2550	3.62E-05
2549	3.62E-05
2548	3.63E-05
2547	3.64E-05
2546	3.64E-05
2545	3.65E-05
2544	3.66E-05
2543	3.66E-05
2542	3.67E-05
2541	3.68E-05
2540	3.68E-05
2539	3.69E-05
2538	3.70E-05
2537	3.70E-05
2536	3.71E-05
2535	3.72E-05
2534	3.72E-05
2533	3.73E-05
2532	3.74E-05
2531	3.74E-05
2530	3.75E-05
2529	3.76E-05
2528	3.76E-05
2527	3.77E-05
2526	3.78E-05
2525	3.78E-05
2524	3.79E-05
2523	3.80E-05
2522	3.81E-05
2521	3.81E-05
2520	3.82E-05
2519	3.83E-05
2518	3.83E-05
2517	3.84E-05
2516	3.85E-05
2515	3.86E-05
2514	3.86E-05
2513	3.87E-05
2512	3.88E-05
2511	3.88E-05
2510	3.89E-05
2509	3.90E-05
2508	3.91E-05
2507	3.91E-05
2506	3.92E-05
2505	3.93E-05
2504	3.94E-05
2503	3.94E-05
2502	3.95E-05
2501	3.96E-05
2500	3.97E-05
2499	3.97E-05
2498	3.98E-05
2497	3.99E-05
2496	4.00E-05
2495	4.00E-05
2494	4.01E-05
2493	4.02E-05
2492	4.03E-05
2491	4.03E-05
2490	4.04E-05
2489	4.05E-05
2488	4.06E-05
2487	4.07E-05
2486	4.07E-05
2485	4.08E-05
2484	4.09E-05
2483	4.10E-05
2482	4.10E-05
2481	4.11E-05
2480	4.12E-05
2479	4.13E-05
2478	4.14E-05
2477	4.14E-05
2476	4.15E-05
2475	4.16E-05
2474	4.17E-05
2473	4.18E-05
2472	4.19E-05
2471	4.19E-05
2470	4.20E-05
2469	4.21E-05
2468	4.22E-05
2467	4.23E-05
2466	4.23E-05
2465	4.24E-05
2464	4.25E-05
2463	4.26E-05
2462	4.27E-05
2461	4.28E-05
2460	4.29E-05
2459	4.29E-05
2458	4.30E-05
2457	4.31E-05
2456	4.32E-05
2455	4.33E-05
2454	4.34E-05
2453	4.34E-05
2452	4.35E-05
2451	4.36E-05
2450	4.37E-05
2449	4.38E-05
2448	4.39E-05
2447	4.40E-05
2446	4.41E-05
2445	4.42E-05
2444	4.42E-05
2443	4.43E-05
2442	4.44E-05
2441	4.45E-05
2440	4.46E-05
2439	4.47E-05
2438	4.48E-05
2437	4.49E-05
2436	4.50E-05
2435	4.51E-05
2434	4.51E-05
2433	4.52E-05
2432	4.53E-05
2431	4.54E-05
2430	4.55E-05
2429	4.56E-05
2428	4.57E-05
2427	4.58E-05
2426	4.59E-05
2425	4.60E-05
2424	4.61E-05
2423	4.62E-05
2422	4.63E-05
2421	4.64E-05
2420	4.65E-05
2419	4.66E-05
2418	4.67E-05
2417	4.68E-05
2416	4.68E-05
2415	4.69E-05
2414	4.70E-05
2413	4.71E-05
2412	4.72E-05
2411	4.73E-05
2410	4.74E-05
2409	4.75E-05
2408	4.76E-05
2407	4.77E-05
2406	4.78E-05
2405	4.79E-05
2404	4.80E-05
2403	4.81E-05
2402	4.82E-05
2401	4.83E-05
2400	4.84E-05
2399	4.86E-05
2398	4.87E-05
2397	4.88E-05
2396	4.89E-05
2395	4.90E-05
2394	4.91E-05
2393	4.92E-05
2392	4.93E-05
2391	4.94E-05
2390	4.95E-05
2389	4.96E-05
2388	4.97E-05
2387	4.98E-05
2386	4.99E-05
2385	5.00E-05
2384	5.01E-05
2383	5.02E-05
2382	5.04E-05
2381	5.05E-05
2380	5.06E-05
2379	5.07E-05
2378	5.08E-05
2377	5.09E-05
2376	5.10E-05
2375	5.11E-05
2374	5.12E-05
2373	5.13E-05
2372	5.15E-05
2371	5.16E-05
2370	5.17E-05
2369	5.18E-05
2368	5.19E-05
2367	5.20E-05
2366	5.21E-05
2365	5.23E-05
2364	5.24E-05
2363	5.25E-05
2362	5.26E-05
2361	5.27E-05
2360	5.28E-05
2359	5.30E-05
2358	5.31E-05
2357	5.32E-05
2356	5.33E-05
2355	5.34E-05
2354	5.36E-05
2353	5.37E-05
2352	5.38E-05
2351	5.39E-05
2350	5.40E-05
2349	5.42E-05
2348	5.43E-05
2347	5.44E-05
2346	5.45E-05
2345	5.47E-05
2344	5.48E-05
2343	5.49E-05
2342	5.50E-05
2341	5.51E-05
2340	5.53E-05
2339	5.54E-05
2338	5.55E-05
2337	5.57E-05
2336	5.58E-05
2335	5.59E-05
2334	5.60E-05
2333	5.62E-05
2332	5.63E-05
2331	5.64E-05
2330	5.66E-05
2329	5.67E-05
2328	5.68E-05
2327	5.70E-05
2326	5.71E-05
2325	5.72E-05
2324	5.73E-05
2323	5.75E-05
2322	5.76E-05
2321	5.78E-05
2320	5.79E-05
2319	5.80E-05
2318	5.82E-05
2317	5.83E-05
2316	5.84E-05
2315	5.86E-05
2314	5.87E-05
2313	5.88E-05
