"v / cm^-1","Intensity / AU"
"2978.0","2.7918957680173288e-05"
"2977.0","2.7774990804705918e-05"
"2976.0","2.763485008342926e-05"
"2975.0","2.7498420934256906e-05"
"2974.0","2.7365593106174925e-05"
"2973.0","2.7236260483827845e-05"
"2972.0","2.7110320902345386e-05"
"2971.0","2.6987675971799617e-05"
"2970.0","2.6868230910722737e-05"
"2969.0","2.6751894388154035e-05"
"2968.0","2.6638578373718366e-05"
"2967.0","2.6528197995272542e-05"
"2966.0","2.6420671403684176e-05"
"2965.0","2.63159196443372e-05"
"2964.0","2.621386653498318e-05"
"2963.0","2.6114438549581545e-05"
"2962.0","2.6017564707795386e-05"
"2961.0","2.5923176469829203e-05"
"2960.0","2.5831207636314525e-05"
"2959.0","2.574159425296829e-05"
"2958.0","2.5654274519764717e-05"
"2957.0","2.556918870437766e-05"
"2956.0","2.5486279059665122e-05"
"2955.0","2.5405489744980855e-05"
"2954.0","2.532676675111132e-05"
"2953.0","2.5250057828647873e-05"
"2952.0","2.5175312419615086e-05"
"2951.0","2.5102481592187117e-05"
"2950.0","2.503151797833313e-05"
"2949.0","2.496237571424218e-05"
"2948.0","2.48950103833868e-05"
"2947.0","2.482937896209209e-05"
"2946.0","2.4765439767484738e-05"
"2945.0","2.4703152407703855e-05"
"2944.0","2.4642477734261414e-05"
"2943.0","2.4583377796446865e-05"
"2942.0","2.4525815797676e-05"
"2941.0","2.4469756053689743e-05"
"2940.0","2.441516395251348e-05"
"2939.0","2.4362005916092877e-05"
"2938.0","2.4310249363525877e-05"
"2937.0","2.4259862675815314e-05"
"2936.0","2.421081516207108e-05"
"2935.0","2.4163077027093145e-05"
"2934.0","2.4116619340271947e-05"
"2933.0","2.4071414005744726e-05"
"2932.0","2.40274337337503e-05"
"2931.0","2.3984652013127418e-05"
"2930.0","2.3943043084904586e-05"
"2929.0","2.3902581916932486e-05"
"2928.0","2.3863244179511414e-05"
"2927.0","2.3825006221969964e-05"
"2926.0","2.3787845050152363e-05"
"2925.0","2.3751738304774342e-05"
"2924.0","2.3716664240609335e-05"
"2923.0","2.368260170646917e-05"
"2922.0","2.3649530125943885e-05"
"2921.0","2.3617429478868763e-05"
"2920.0","2.358628028348685e-05"
"2919.0","2.355606357927707e-05"
"2918.0","2.3526760910420363e-05"
"2917.0","2.349835430987603e-05"
"2916.0","2.3470826284043104e-05"
"2915.0","2.3444159797982322e-05"
"2914.0","2.3418338261175e-05"
"2913.0","2.3393345513796943e-05"
"2912.0","2.3369165813486117e-05"
"2911.0","2.334578382258357e-05"
"2910.0","2.3323184595828796e-05"
"2909.0","2.3301353568490704e-05"
"2908.0","2.328027654491686e-05"
"2907.0","2.325993968748408e-05"
"2906.0","2.3240329505934607e-05"
"2905.0","2.3221432847081992e-05"
"2904.0","2.3203236884872904e-05"
"2903.0","2.3185729110789992e-05"
"2902.0","2.3168897324583184e-05"
"2901.0","2.3152729625316112e-05"
"2900.0","2.313721440271581e-05"
"2899.0","2.312234032881379e-05"
"2898.0","2.3108096349867212e-05"
"2897.0","2.3094471678550035e-05"
"2896.0","2.3081455786402925e-05"
"2895.0","2.3069038396533185e-05"
"2894.0","2.3057209476554358e-05"
"2893.0","2.3045959231757288e-05"
"2892.0","2.3035278098503558e-05"
"2891.0","2.302515673783305e-05"
"2890.0","2.301558602927813e-05"
"2889.0","2.3006557064876242e-05"
"2888.0","2.29980611433743e-05"
"2887.0","2.299008976461731e-05"
"2886.0","2.298263462411508e-05"
"2885.0","2.2975687607780104e-05"
"2884.0","2.296924078683072e-05"
"2883.0","2.2963286412853748e-05"
"2882.0","2.2957816913020733e-05"
"2881.0","2.295282488545223e-05"
"2880.0","2.2948303094725277e-05"
"2879.0","2.2944244467518866e-05"
"2878.0","2.294064208839224e-05"
"2877.0","2.2937489195692155e-05"
"2876.0","2.2934779177583763e-05"
"2875.0","2.2932505568201564e-05"
"2874.0","2.293066204391592e-05"
"2873.0","2.292924241971111e-05"
"2872.0","2.292824064567158e-05"
"2871.0","2.2927650803572175e-05"
"2870.0","2.2927467103569253e-05"
"2869.0","2.292768388098893e-05"
"2868.0","2.2928295593209714e-05"
"2867.0","2.2929296816635642e-05"
"2866.0","2.2930682243757733e-05"
"2865.0","2.2932446680300248e-05"
"2864.0","2.2934585042449156e-05"
"2863.0","2.2937092354160155e-05"
"2862.0","2.293996374454356e-05"
"2861.0","2.2943194445323745e-05"
"2860.0","2.2946779788370394e-05"
"2859.0","2.295071520329957e-05"
"2858.0","2.29549962151422e-05"
"2857.0","2.2959618442077807e-05"
"2856.0","2.296457759323147e-05"
"2855.0","2.2969869466532002e-05"
"2854.0","2.2975489946629402e-05"
"2853.0","2.2981435002869682e-05"
"2852.0","2.2987700687325194e-05"
"2851.0","2.299428313287919e-05"
"2850.0","2.3001178551361998e-05"
"2849.0","2.300838323173826e-05"
"2848.0","2.301589353834294e-05"
