"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"252","792.3967","0.0","0.0"
"253","798.3023","0.0","0.0076"
"254","799.9237","0.0302","0.0"
"255","799.9265","0.0302","0.0"
"256","804.8851","0.0052","0.0"
"257","811.0311","0.0034","0.0"
"258","818.2219","1.8244","0.0"
"259","818.2235","1.8245","0.0"
"260","819.1109","0.0","0.0"
"261","836.9478","0.0","0.0"
"262","839.9585","0.0","0.0"
"263","840.2325","0.1098","0.0"
"264","840.2329","0.1098","0.0"
"265","840.7637","0.0","0.8732"
"266","842.0004","0.0416","0.0"
"267","842.0005","0.0416","0.0"
"268","845.5502","0.0","1.9728"
"269","845.7084","0.0","0.0"
"270","846.1483","0.0011","0.0"
"271","846.1489","0.0011","0.0"
"272","851.1996","0.005","0.0"
"273","900.0378","0.0","0.0"
"274","900.8524","0.1065","0.0"
"275","909.3345","0.0003","0.0"
"276","909.3366","0.0003","0.0"
"277","911.0826","0.0329","0.0"
"278","911.0841","0.0329","0.0"
"279","915.6219","0.0","0.0"
"280","915.793","0.0","0.0035"
"281","955.7884","0.0","0.0"
"282","961.7209","0.6107","0.0"
"283","961.7283","0.6103","0.0"
"284","964.7178","0.0137","0.0"
"285","965.5648","0.0437","0.0"
"286","965.5653","0.0438","0.0"
"287","966.4162","0.0","0.0"
"288","967.3362","0.0178","0.0"
"289","985.4375","0.0032","0.0"
"290","985.4526","0.0032","0.0"
"291","985.5856","0.0","0.0014"
"292","986.2033","0.0","0.0"
"293","995.495","0.0","0.0"
"294","997.1171","0.0015","0.0"
"295","997.1203","0.0015","0.0"
"296","997.4228","0.0","0.0"
"297","997.9644","0.0","0.0001"
"298","1001.3752","0.0","0.0"
"299","1001.6029","0.0066","0.0"
"300","1001.6035","0.0065","0.0"
"301","1033.3649","0.0","0.0"
"302","1034.4533","0.0001","0.0"
"303","1034.4535","0.0001","0.0"
"304","1037.6501","0.0","0.5251"
"305","1069.1513","0.0","0.0"
"306","1073.0002","0.3326","0.0"
"307","1073.1091","0.3406","0.0"
"308","1075.2609","0.0035","0.0039"
"309","1075.5188","0.0863","0.0"
"310","1075.5809","0.1455","0.0001"
"311","1075.678","0.2125","0.0001"
"312","1077.2966","0.0012","0.0"
"313","1082.1725","0.0","0.0"
"314","1083.1571","0.0257","0.0"
"315","1083.1614","0.0252","0.0"
"316","1085.0284","0.0","0.0"
"317","1108.8831","0.0132","0.0"
"318","1109.1526","0.0","0.0"
"319","1109.9294","0.0049","0.0"
"320","1109.9304","0.0049","0.0"
"321","1129.5031","0.0005","0.0"
"322","1133.2735","0.0","0.0"
"323","1133.3735","0.0037","0.0"
"324","1133.3746","0.0037","0.0"
"325","1138.8707","0.0222","0.0"
"326","1138.8733","0.0223","0.0"
"327","1139.368","0.0","0.0"
"328","1141.2932","0.0","0.0001"
"329","1142.3719","0.0011","0.0"
"330","1147.3564","0.0","0.0"
"331","1148.6668","0.068","0.0"
"332","1148.668","0.0681","0.0"
"333","1253.9463","0.0","0.0004"
"334","1254.2318","0.0017","0.0"
"335","1254.2341","0.0017","0.0"
"336","1254.457","0.0","0.0"
"337","1270.5894","0.0","0.0002"
"338","1272.643","0.3756","0.0"
"339","1272.6494","0.375","0.0"
"340","1280.2526","0.0","0.0"
"341","1284.979","0.0001","0.0"
"342","1287.0007","0.0121","0.0"
"343","1287.101","0.0068","0.0001"
"344","1287.1669","0.006","0.0"
"345","1287.7756","0.1539","0.0"
"346","1287.9307","0.1487","0.0"
"347","1288.662","0.0006","0.0"
"348","1289.3684","0.0005","0.0"
"349","1314.8744","0.0","0.0"
"350","1315.5901","0.0002","0.0"
"351","1317.7645","0.0035","0.0"
"352","1317.7647","0.0036","0.0"
"353","1357.1181","0.4099","0.0"
"354","1359.0523","0.0006","0.0"
"355","1359.0529","0.0006","0.0"
"356","1359.1465","0.0","0.0"
"357","1366.0241","0.0679","0.0"
"358","1366.0245","0.0679","0.0"
"359","1366.1699","0.0","0.0023"
"360","1366.4681","0.0","0.0"
"361","1371.465","0.0","0.0"
"362","1376.6831","0.0005","0.0"
"363","1376.6832","0.0005","0.0"
"364","1384.1779","0.0","0.0"
"365","1384.2551","0.0001","0.0"
"366","1385.8624","0.0109","0.0"
"367","1385.8636","0.0109","0.0"
"368","1388.7679","0.0","0.0"
"369","1388.9151","0.0048","0.0"
"370","1390.2162","0.0058","0.0"
"371","1390.2165","0.0058","0.0"
"372","1391.3031","0.0","0.1534"
"373","1396.1562","0.0","0.0031"
"374","1399.7948","0.4387","0.0"
"375","1399.7961","0.4387","0.0"
"376","1408.6999","0.0","0.0"
"377","1409.6941","0.0005","0.0"
"378","1410.8774","0.0081","0.0"
"379","1410.8782","0.0081","0.0"
"380","1412.5275","0.0","0.0"
"381","1480.3912","0.0","0.0317"
"382","1480.4631","0.0","0.0"
"383","1480.4634","0.0","0.0"
"384","1480.5756","0.0","0.0"
"385","1615.2188","0.0144","0.0"
"386","1615.2191","0.0144","0.0"
"387","1615.3803","0.0","0.0"
"388","1616.5964","0.2001","0.0"
"389","1618.1177","2.4779","0.0"
"390","1618.5223","0.0053","0.0"
"391","1618.5227","0.0053","0.0"
"392","1619.357","0.0","0.0"
"393","1625.6856","0.0","0.0"
"394","1629.9847","0.0","0.0071"
"395","1632.5697","0.1091","0.0"
"396","1632.5699","0.1091","0.0"
"397","1633.8504","0.0","0.0"
"398","1639.0468","0.0","0.0"
"399","1640.2439","0.0038","0.0"
"400","1640.2443","0.0038","0.0"
"401","2941.9119","0.0032","0.0"
"402","2941.9171","0.1023","0.0"
"403","2941.919","0.0027","0.0"
"404","2941.9208","0.001","0.0"
"405","2943.646","0.0025","0.0004"
"406","2943.6472","0.0024","0.0002"
"407","2943.657","0.0002","0.0008"
"408","2943.6596","0.0","0.0008"
"409","2943.6905","0.0","1.4057"
"410","2943.7149","0.0","0.0027"
"411","2943.748","0.0008","0.0001"
"412","2943.7502","0.0008","0.0002"
"413","2944.9066","0.0153","0.0"
"414","2944.9352","0.0","0.0"
"415","2944.9352","0.0","0.0"
"416","2944.9525","0.0","0.0"
"417","2945.7186","0.0","0.0878"
"418","2945.8766","0.0834","0.0"
"419","2945.8766","0.0834","0.0"
"420","2946.317","0.0","0.0"
"421","2946.7969","0.0","0.0"
"422","2946.8901","0.0","0.0"
"423","2946.8901","0.0","0.0"
"424","2947.0091","0.0","6.7443"
"425","3694.5156","0.0184","0.0"
"426","3694.5158","0.0183","0.0"
"427","3695.1832","0.0011","0.0"
"428","3695.2044","0.0","0.0"
"429","3695.4616","0.0","0.0039"
"430","3695.4629","0.0","2.262"
"431","3696.837","0.1682","0.0"
"432","3696.8372","0.1681","0.0"
"433","-0.0","0.0","0.0"
"434","0.0","0.0","0.0"
"435","0.0","0.0","0.0"
"436","301.3632","0.0","0.0"
"437","315.1557","2.7598","0.0"
"438","318.1944","0.0","0.0"
"439","318.1944","0.0","0.0"
"440","332.266","0.6267","0.0"
"441","332.266","0.6267","0.0"
"442","348.3746","0.0","0.0"
"443","348.3746","0.0","0.0"
"444","420.3454","1.5286","0.0"
"445","420.3454","1.5286","0.0"
"446","443.3983","0.0","0.0"
"447","487.1377","0.6609","0.0"
"448","487.1377","0.6609","0.0"
"449","519.6868","0.0745","0.0"
"450","548.6427","0.0","0.0"
"451","548.6427","0.0","0.0"
"452","603.3337","0.0","0.0"
"453","618.4711","0.0","0.0"
"454","618.4711","0.0","0.0"
"455","646.2498","0.0","0.0"
"456","680.9003","0.0","0.0"
"457","751.2391","0.0182","0.0"
"458","751.2391","0.0182","0.0"
"459","812.3151","0.0","0.0"
"460","812.3151","0.0","0.0"
"461","818.5053","0.0","0.0"
"462","926.9223","0.0","0.0"
