"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"331","676.174","0.0001","0.0"
"332","677.0697","1.0244","0.0025"
"333","677.5403","0.0","0.0"
"334","682.6703","0.0","0.0002"
"335","686.4387","0.0","0.0"
"336","686.5037","0.0","0.0001"
"337","689.8328","0.01","0.0038"
"338","691.3186","0.0","0.0"
"339","691.8847","0.0007","0.0"
"340","691.9084","0.0007","0.0001"
"341","692.0894","0.0","0.0"
"342","692.1263","0.0002","0.0002"
"343","693.764","0.0","0.0001"
"344","698.7526","0.0003","0.0005"
"345","703.8279","0.0007","0.0148"
"346","704.8395","0.0001","0.0002"
"347","707.0567","0.4634","0.7174"
"348","708.236","0.9092","0.0"
"349","708.2481","0.9122","0.0001"
"350","708.6865","0.0477","8.0468"
"351","711.8939","0.0004","0.0004"
"352","713.1206","0.0019","0.0"
"353","715.2703","0.0019","0.0"
"354","715.492","0.0017","0.0001"
"355","718.3048","0.0019","0.0"
"356","718.5734","0.0","0.0"
"357","718.6821","0.0007","0.0"
"358","720.4779","0.0074","0.0"
"359","721.1435","0.0049","0.0"
"360","724.7569","0.0683","0.0001"
"361","725.1196","0.0648","0.0"
"362","727.6482","0.0007","0.0"
"363","736.4953","0.0019","0.0083"
"364","736.6023","0.0001","0.0"
"365","746.5161","0.0756","0.8387"
"366","756.4668","0.0006","0.0026"
"367","760.3774","0.0","0.0"
"368","762.9958","0.0","0.0"
"369","765.6974","0.0","0.0"
"370","766.0395","0.0009","0.0"
"371","766.1903","0.2602","0.0007"
"372","768.9248","3.2865","0.0118"
"373","772.0853","0.0","0.0"
"374","772.1124","0.0222","0.0001"
"375","775.7482","1.5166","0.0"
"376","775.7724","1.5186","0.0"
"377","795.1092","0.0011","0.2037"
"378","800.6963","0.0091","0.0"
"379","800.7262","0.005","0.0"
"380","801.6789","0.0001","0.0"
"381","802.1301","0.0001","0.0"
"382","804.7318","0.0582","0.0"
"383","805.2501","0.0772","0.0"
"384","805.8878","0.002","0.0"
"385","806.5308","0.0251","0.0"
"386","806.5983","0.0007","0.0"
"387","808.2431","0.0","0.0001"
"388","811.0565","0.0001","0.0"
"389","811.0572","0.0002","0.0"
"390","811.0638","0.0043","0.0"
"391","811.065","0.0044","0.0"
"392","811.8394","0.0006","0.0"
"393","811.873","0.0004","0.0"
"394","811.9025","0.0332","0.0"
"395","812.078","0.0","0.0"
