"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"344","1164.9993","0.0","0.0"
"345","1164.9994","0.0","0.0"
"346","1165.5257","0.0","0.0"
"347","1165.5258","0.0","0.0"
"348","1165.526","0.0","0.0"
"349","1176.7844","0.0","0.0"
"350","1176.7845","0.0","0.0"
"351","1176.7847","0.0","0.0"
"352","1176.8707","0.0","0.0"
"353","1176.8708","0.0","0.0"
"354","1176.871","0.0","0.0"
"355","1181.2015","0.0","0.0"
"356","1181.2015","0.0","0.0"
"357","1181.2017","0.0","0.0"
"358","1181.2885","0.2219","0.0"
"359","1181.2885","0.2219","0.0"
"360","1181.2887","0.2219","0.0"
"361","1190.358","0.0","0.0"
"362","1190.3583","0.0","0.0"
"363","1190.3715","0.0","0.0"
"364","1190.3718","0.0","0.0"
"365","1190.3719","0.0","0.0"
"366","1190.4062","0.0","0.1215"
"367","1196.4228","0.0","0.0"
"368","1196.4229","0.0","0.0"
"369","1196.423","0.0","0.0"
"370","1196.9533","0.0031","0.0"
"371","1196.9534","0.0031","0.0"
"372","1196.9534","0.0031","0.0"
"373","1246.1371","0.0","0.0"
"374","1246.1372","0.0","0.0"
"375","1246.1373","0.0","0.0"
"376","1246.3724","0.0","0.0"
"377","1246.3725","0.0","0.0"
"378","1246.3726","0.0","0.0"
"379","1307.0313","0.0","0.0"
"380","1307.0314","0.0","0.0"
"381","1309.4447","0.5825","0.0"
"382","1309.4448","0.5825","0.0"
"383","1309.445","0.5825","0.0"
"384","1318.3679","0.0","0.0"
"385","1318.858","0.0","0.0"
"386","1318.8581","0.0","0.0"
"387","1321.9909","0.0","0.0"
"388","1321.9909","0.0","0.0"
"389","1321.9911","0.0","0.0"
"390","1332.9873","0.0","0.4415"
"391","1374.754","0.0","0.0"
"392","1374.7541","0.0","0.0"
"393","1376.1889","0.1139","0.0"
"394","1376.189","0.1139","0.0"
"395","1376.1891","0.1139","0.0"
"396","1382.0169","0.0","0.0"
"397","1403.6035","0.0","0.0"
"398","1403.6035","0.0","0.0"
"399","1403.6036","0.0","0.0"
"400","1403.7414","0.0026","0.0"
"401","1403.7414","0.0026","0.0"
"402","1403.7415","0.0026","0.0"
"403","1422.1485","0.0","0.0"
"404","1422.1486","0.0","0.0"
"405","1422.1487","0.0","0.0"
"406","1422.4089","0.0","0.0"
"407","1422.409","0.0","0.0"
"408","1422.409","0.0","0.0"
"409","1423.479","0.0","0.0"
"410","1423.4791","0.0","0.0"
"411","1423.4792","0.0","0.0"
"412","1423.8086","0.05","0.0"
"413","1423.8087","0.05","0.0"
"414","1423.8087","0.05","0.0"
"415","1426.6002","0.0","0.0"
"416","1426.6003","0.0","0.0"
"417","1427.4276","0.0","0.0"
"418","1427.4277","0.0","0.0"
"419","1427.4278","0.0","0.0"
"420","1430.6148","0.0","0.0047"
"421","1447.0158","0.0","0.0"
"422","1447.0158","0.0","0.0"
"423","1447.0159","0.0","0.0"
"424","1447.1087","0.0","0.0"
"425","1447.1087","0.0","0.0"
"426","1447.1088","0.0","0.0"
"427","1480.6453","0.0","0.0"
"428","1480.6454","0.0","0.0"
"429","1480.8679","0.0358","0.0"
